                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0906,                 3.1283,                 3.3477,                0.42779,                0.46966,                0.36444,                0.11855,                 2.0772,                 2.7695,                 2.7253,              0.0006626,              0.0006626,              0.0006626
                      2,                 2.1252,                 1.9346,                 2.4156,                0.64088,                0.65451,                0.63882,                0.27537,                 1.7988,                 3.6402,                 2.4423,              0.0013029,              0.0013029,              0.0013029
                      3,                 1.9656,                 1.6382,                  2.242,                0.75974,                 0.7509,                0.75877,                0.33885,                 1.8561,                  1.488,                 2.4703,              0.0019169,              0.0019169,              0.0019169
                      4,                 1.9133,                 1.5019,                 2.1674,                 0.8128,                0.76758,                0.80511,                0.37488,                 1.6827,                 1.4835,                  2.282,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8282,                 1.3452,                 2.0846,                0.83481,                0.85488,                0.85669,                0.41534,                 1.6799,                 1.4214,                 2.2799,              0.0018812,              0.0018812,              0.0018812
                      6,                  1.812,                 1.2595,                 2.0586,                0.83195,                0.89182,                0.87506,                0.40709,                 1.7654,                 1.2324,                 2.3104,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.7846,                 1.1895,                 2.0119,                0.88511,                0.89443,                0.90187,                 0.4501,                 1.6631,                0.94706,                 2.2376,               0.001802,               0.001802,               0.001802
                      8,                 1.7433,                 1.1154,                 1.9803,                0.87418,                0.90237,                  0.898,                0.41391,                 1.7772,                 1.0549,                 2.3249,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.7398,                 1.0798,                 1.9737,                0.90063,                0.90872,                0.91086,                0.45787,                  1.672,                0.87198,                 2.2047,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.7216,                 1.0264,                 1.9475,                 0.8943,                0.91557,                0.91123,                0.45794,                 1.5909,                0.97498,                 2.1404,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.6792,                 1.0034,                 1.9313,                0.83013,                0.79156,                0.83487,                0.40834,                 1.7754,                 1.1471,                 2.2846,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.6924,                0.98074,                 1.9321,                0.88552,                0.89805,                0.91184,                0.46912,                  1.664,                0.81238,                 2.1975,               0.001604,               0.001604,               0.001604
                     13,                 1.6759,                0.95593,                 1.9277,                0.89258,                0.90501,                0.91023,                0.44686,                 1.7299,                 0.8148,                 2.2479,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.6602,                0.94128,                 1.8912,                0.89513,                0.92612,                0.91467,                0.46833,                 1.6704,                0.77181,                  2.164,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.638,                0.88755,                   1.88,                0.87005,                0.94459,                0.93626,                0.44617,                 1.7539,                0.79908,                 2.2445,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.6292,                0.89525,                 1.8718,                0.91434,                0.93404,                0.92108,                0.48081,                   1.64,                0.77183,                 2.1456,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.6134,                0.88002,                 1.8601,                0.89852,                 0.9345,                0.92226,                0.46766,                 1.6573,                0.75394,                 2.1904,               0.001406,               0.001406,               0.001406
                     18,                 1.6364,                0.87175,                 1.8818,                0.89777,                0.95004,                 0.9237,                0.47154,                 1.6301,                0.73166,                 2.1463,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.5992,                0.85853,                 1.8529,                0.90108,                0.93731,                0.93638,                 0.4949,                 1.6006,                0.73998,                 2.1268,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.6096,                0.84996,                 1.8562,                0.89448,                 0.9394,                0.91891,                0.46107,                 1.7079,                0.73887,                 2.2449,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.5908,                0.84843,                 1.8416,                0.90638,                0.94987,                0.92944,                0.49038,                 1.5981,                0.70891,                 2.1238,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.5735,                0.80878,                 1.8262,                0.91484,                0.92348,                0.92568,                0.48561,                 1.6608,                0.67843,                   2.19,               0.001208,               0.001208,               0.001208
                     23,                 1.5768,                 0.8131,                 1.8286,                0.91162,                0.94195,                0.93119,                0.49894,                 1.6278,                 0.6817,                 2.1473,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.5684,                0.79596,                 1.8263,                0.90473,                 0.9314,                0.92329,                0.48273,                 1.6304,                 0.6938,                  2.153,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.5562,                0.79445,                 1.8161,                 0.9136,                0.94862,                0.93204,                0.49994,                 1.5878,                0.66642,                 2.1039,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.5287,                0.77535,                 1.7911,                0.90753,                0.91557,                0.92028,                0.48392,                 1.6331,                 0.7117,                 2.1494,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.5314,                0.76135,                 1.7959,                0.91378,                0.96306,                0.93945,                0.50896,                 1.6007,                0.65927,                 2.1147,                0.00101,                0.00101,                0.00101
                     28,                 1.5279,                0.76389,                 1.7826,                0.91572,                 0.9461,                0.93694,                0.50841,                 1.5934,                0.65157,                 2.0971,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.5174,                0.75806,                 1.7828,                0.91678,                0.94459,                0.93565,                0.51519,                 1.5713,                0.64769,                  2.101,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.5066,                0.74952,                 1.7674,                0.90329,                0.94459,                 0.9412,                0.51322,                  1.582,                0.64424,                 2.0939,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4965,                0.74259,                 1.7684,                0.89701,                0.94987,                0.93105,                0.50523,                 1.5868,                0.63882,                 2.1116,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.4881,                 0.7405,                 1.7671,                 0.9048,                0.94987,                0.92872,                0.47224,                 1.6897,                0.65305,                 2.1785,               0.000812,               0.000812,               0.000812
                     33,                 1.4792,                0.72245,                 1.7467,                0.90016,                0.95515,                0.93007,                0.49142,                 1.6221,                0.65721,                  2.133,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.4729,                0.73191,                  1.746,                0.91114,                0.94987,                0.93901,                0.50314,                  1.622,                0.63356,                 2.1363,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.4617,                0.71255,                  1.747,                0.90592,                0.94987,                0.93587,                0.51593,                 1.5737,                0.61976,                 2.0967,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.4353,                0.71544,                 1.7126,                0.91167,                0.95318,                0.94092,                0.50074,                 1.6214,                0.62428,                 2.1398,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.4536,                0.70727,                 1.7293,                0.91164,                0.95277,                0.94515,                 0.5277,                   1.56,                0.60983,                 2.0956,               0.000614,               0.000614,               0.000614
                     38,                 1.4294,                 0.6918,                 1.7175,                0.91099,                0.94723,                0.93416,                0.51479,                 1.5977,                0.62638,                 2.1249,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.4373,                0.67805,                 1.7291,                 0.9136,                0.95515,                0.94212,                0.52566,                 1.5691,                0.60234,                 2.1065,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.4115,                0.68087,                 1.7112,                0.91657,                0.95515,                 0.9416,                0.51891,                 1.5885,                0.62309,                 2.1231,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.3679,                  0.586,                 1.8678,                0.91302,                0.94164,                0.93439,                0.51302,                 1.5929,                0.61086,                 2.1149,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.3364,                0.57116,                 1.8347,                0.91189,                0.96306,                0.94064,                0.52404,                 1.5934,                0.60983,                 2.1232,               0.000416,               0.000416,               0.000416
                     43,                 1.3152,                0.55981,                 1.8304,                0.90877,                0.96042,                0.94238,                0.51967,                   1.58,                0.60586,                 2.1345,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.3015,                0.54972,                 1.7997,                0.90505,                0.95572,                0.94078,                0.52629,                 1.5711,                0.61402,                  2.121,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.2894,                0.54197,                 1.7914,                0.90811,                0.96042,                0.94397,                0.52655,                  1.573,                0.60428,                 2.1276,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.2697,                0.54363,                 1.7772,                0.90565,                0.96244,                0.94342,                0.53145,                  1.567,                0.59946,                 2.1297,              0.0002576,              0.0002576,              0.0002576
                     47,                   1.26,                0.53632,                 1.7578,                0.90908,                0.94969,                0.93699,                0.52261,                 1.5703,                0.59765,                 2.1265,               0.000218,               0.000218,               0.000218
                     48,                 1.2493,                0.52605,                 1.7581,                0.90469,                0.94723,                0.93587,                0.53141,                 1.5598,                0.60663,                 2.1245,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.2319,                0.52239,                  1.748,                0.91181,                0.95482,                0.93577,                0.53314,                 1.5646,                0.61334,                 2.1301,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.2213,                0.51146,                 1.7204,                0.90887,                0.94734,                0.94107,                0.53395,                 1.5701,                0.61028,                 2.1392,               9.92e-05,               9.92e-05,               9.92e-05
