                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9309,                 4.9748,                 4.0474,                0.00155,                0.45028,                0.00148,                 0.0004,                 3.1491,                 4.6406,                 4.0463,             0.00065766,             0.00065766,             0.00065766
                      2,                 3.4199,                 4.0168,                 3.3963,                0.00223,                0.00829,                0.00101,                0.00029,                 3.4335,                 43.286,                 5.1199,              0.0013156,              0.0013156,              0.0013156
                      3,                 3.2407,                 3.6935,                 3.1068,                0.00499,                0.02762,                0.00252,                0.00068,                 3.1208,                 5.0076,                 4.2537,              0.0019647,              0.0019647,              0.0019647
                      4,                 3.1939,                 3.4422,                 2.9892,                 0.0062,                 0.0884,                0.00322,                0.00081,                 2.9326,                 4.2411,                 3.7139,              0.0019604,              0.0019604,              0.0019604
                      5,                 3.1004,                 3.3176,                 2.9365,                0.00261,                0.61602,                0.01273,                0.00282,                 2.9872,                 3.8391,                 3.4786,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.9984,                 3.2525,                 2.8372,                0.01225,                0.00829,                0.00571,                0.00143,                 2.8852,                 3.9615,                   3.44,              0.0019472,              0.0019472,              0.0019472
                      7,                 2.8892,                 3.1957,                  2.775,                 0.0122,                0.12707,                0.00474,                 0.0013,                 2.8611,                  4.087,                 3.3763,               0.001934,               0.001934,               0.001934
                      8,                  2.738,                 3.0112,                 2.6879,                0.15508,                0.04972,                0.03439,                0.01064,                  2.806,                 3.7379,                 3.2654,              0.0019208,              0.0019208,              0.0019208
                      9,                 2.6396,                 2.8694,                 2.6381,                 0.0243,                0.32873,                0.02698,                0.00706,                 2.6518,                  3.464,                 3.1428,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.6141,                 2.8398,                 2.6553,                0.04215,                0.05249,                0.01654,                0.00556,                 2.6146,                 3.7836,                 3.1551,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.5172,                 2.7556,                 2.5638,                0.15339,                0.11326,                0.06769,                0.02421,                 2.6291,                 3.6583,                 3.1907,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.4542,                 2.6374,                 2.5065,                0.09343,                0.18232,                0.05526,                0.01387,                 2.6458,                 3.3613,                 3.1987,               0.001868,               0.001868,               0.001868
                     13,                 2.3544,                 2.5259,                 2.4632,                0.14333,                0.12983,                0.06792,                0.02095,                 2.5347,                 3.2077,                 3.0186,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.3633,                 2.5058,                 2.4421,                0.21403,                 0.1105,                0.09926,                0.03321,                 2.4848,                 3.2395,                 3.0169,              0.0018416,              0.0018416,              0.0018416
                     15,                 2.2784,                 2.3628,                 2.3838,                0.21359,                 0.1547,                0.10459,                0.03497,                 2.4253,                 3.0713,                  3.015,              0.0018284,              0.0018284,              0.0018284
                     16,                  2.248,                 2.3686,                 2.3894,                0.18991,                0.18785,                0.11831,                0.03918,                 2.4145,                  2.987,                 2.9635,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.2509,                 2.2896,                 2.3684,                0.29231,                0.16298,                0.14316,                0.05172,                 2.4066,                 3.2949,                 3.0126,               0.001802,               0.001802,               0.001802
                     18,                 2.1427,                  2.237,                 2.2724,                 0.2068,                0.10497,                0.09753,                0.03349,                 2.4615,                 3.3249,                 2.9774,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.1696,                 2.2276,                 2.2922,                 0.1827,                 0.1547,                0.10735,                0.03918,                 2.4102,                 3.2719,                  2.996,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.1666,                 2.1992,                 2.2845,                0.30253,                0.20718,                0.15163,                0.05559,                 2.3055,                 3.0106,                 2.8434,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.1046,                 2.1294,                 2.2487,                0.19525,                0.22928,                0.14545,                0.04852,                 2.3446,                 3.0133,                 2.8481,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.0528,                 2.0886,                 2.2252,                0.31852,                0.25691,                0.20147,                0.07871,                 2.2504,                 2.7628,                 2.8138,               0.001736,               0.001736,               0.001736
                     23,                 2.0636,                 2.0777,                 2.2126,                 0.1901,                0.18232,                0.12094,                0.04516,                 2.3303,                 3.3119,                 2.8654,              0.0017228,              0.0017228,              0.0017228
                     24,                 2.0288,                 1.9677,                  2.158,                0.31369,                 0.3232,                0.25441,                0.09624,                 2.2344,                 2.6639,                 2.7647,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.9982,                 1.9836,                 2.1487,                0.33428,                0.20994,                0.21275,                0.07977,                 2.1944,                 2.7396,                 2.7874,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.9852,                 1.8972,                  2.137,                 0.3384,                0.25414,                0.23754,                0.09354,                 2.1403,                 2.7937,                 2.6893,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.9395,                 1.8691,                 2.1018,                0.29352,                0.33425,                0.23151,                0.08821,                 2.1266,                 2.6513,                 2.6388,                0.00167,                0.00167,                0.00167
                     28,                 1.9473,                 1.8458,                 2.0827,                0.31398,                 0.3453,                0.24759,                0.09811,                 2.1079,                 2.4814,                 2.6914,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.9353,                  1.862,                 2.1214,                0.34307,                0.28453,                0.25372,                0.09177,                 2.1658,                 2.6891,                 2.7646,              0.0016436,              0.0016436,              0.0016436
                     30,                  1.906,                 1.8158,                 2.0691,                0.33957,                0.32044,                0.25132,                0.09844,                 2.1238,                 2.4763,                 2.6677,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.8766,                 1.7869,                 2.0778,                0.36824,                0.28453,                0.25781,                0.10568,                  2.142,                 2.6359,                 2.7192,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.8608,                 1.7726,                 2.0585,                0.27275,                0.29006,                0.20762,                0.08567,                 2.0562,                  2.811,                  2.653,               0.001604,               0.001604,               0.001604
                     33,                 1.8406,                 1.7264,                 2.0296,                0.37225,                0.28453,                0.26618,                 0.1145,                 2.0192,                 2.5264,                 2.6269,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.8694,                 1.7127,                 2.0495,                 0.4037,                0.37845,                0.34551,                0.14069,                 2.0911,                 2.3851,                 2.6564,              0.0015776,              0.0015776,              0.0015776
                     35,                  1.805,                 1.6283,                 1.9645,                0.46769,                0.34465,                0.36332,                0.14512,                 2.0388,                 2.3497,                 2.5502,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.7895,                 1.5972,                 1.9665,                0.46738,                0.32044,                0.32586,                0.13718,                 2.0419,                 2.3868,                 2.5533,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.7544,                 1.5895,                 1.9538,                0.44281,                0.33589,                0.34932,                0.13981,                 2.0423,                 2.3539,                  2.608,               0.001538,               0.001538,               0.001538
                     38,                 1.7863,                 1.6236,                 1.9904,                 0.4152,                0.41989,                0.36713,                0.15087,                 1.9816,                 2.5712,                   2.58,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.7922,                 1.6132,                 1.9525,                0.40089,                0.38122,                0.30571,                0.13132,                 1.9988,                 2.3881,                 2.5522,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.7454,                 1.5789,                 1.9373,                0.42522,                0.34254,                0.33148,                0.14339,                 2.0093,                 2.3642,                 2.5399,              0.0014984,              0.0014984,              0.0014984
                     41,                   1.72,                 1.5749,                 1.9201,                0.37321,                0.38653,                0.34702,                0.14749,                 1.9321,                 2.2237,                 2.4612,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.7176,                 1.5609,                 1.9008,                0.50556,                0.37293,                0.39435,                0.17586,                 1.9587,                 2.1572,                 2.4653,               0.001472,               0.001472,               0.001472
                     43,                 1.7085,                 1.5178,                 1.9142,                0.58581,                0.38398,                0.43499,                0.18562,                 1.9265,                 2.2797,                 2.4863,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.6829,                 1.5055,                 1.8869,                0.52577,                0.37977,                0.40871,                0.18057,                  1.951,                 2.3904,                 2.5274,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.7242,                 1.4766,                  1.904,                0.42977,                0.40608,                0.35598,                0.15637,                 1.9095,                 2.2106,                 2.5149,              0.0014324,              0.0014324,              0.0014324
