                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9309,                 4.9748,                 4.0474,                0.00155,                0.45028,                0.00148,                 0.0004,                 3.1491,                 4.6406,                 4.0463,             0.00065766,             0.00065766,             0.00065766
                      2,                 3.4156,                 4.0046,                   3.38,                0.00531,                0.09945,                0.00233,                0.00063,                  3.133,                  4.667,                 4.0135,              0.0013214,              0.0013214,              0.0013214
                      3,                 3.2362,                 3.7005,                 3.0881,                0.02888,                0.03867,                0.00532,                0.00129,                 3.1543,                 4.2362,                 3.8268,              0.0019822,              0.0019822,              0.0019822
                      4,                 3.1099,                 3.4547,                 2.9493,                0.00336,                0.54696,                0.00707,                0.00186,                 3.0745,                 3.8895,                 3.6418,              0.0019868,              0.0019868,              0.0019868
                      5,                 3.0085,                 3.2639,                 2.9114,                0.00276,                0.62983,                0.00706,                0.00172,                 3.0994,                 3.7866,                 3.5774,              0.0019868,              0.0019868,              0.0019868
                      6,                  2.934,                 3.1672,                 2.8281,                0.05899,                0.01381,                0.01112,                0.00314,                 2.8733,                 3.7181,                 3.3448,              0.0019824,              0.0019824,              0.0019824
                      7,                 2.7801,                 3.0731,                 2.7417,                0.01172,                0.36464,                0.01723,                0.00479,                 2.7899,                 4.0756,                 3.4663,               0.001978,               0.001978,               0.001978
                      8,                 2.6602,                 2.9261,                 2.7207,                0.08386,                 0.0442,                0.03322,                 0.0098,                 2.7117,                 3.8344,                 3.3247,              0.0019736,              0.0019736,              0.0019736
                      9,                 2.5979,                 2.8399,                 2.6783,                0.11745,                0.07459,                0.02733,                0.00629,                 2.6648,                 3.9655,                 3.3246,              0.0019692,              0.0019692,              0.0019692
                     10,                 2.5747,                 2.8037,                 2.6453,                0.01026,                0.33978,                0.01583,                0.00421,                  2.574,                 4.2255,                 3.2862,              0.0019648,              0.0019648,              0.0019648
                     11,                 2.4918,                 2.6952,                 2.5759,                0.18834,                0.08564,                0.05109,                0.01715,                 2.5319,                 3.6987,                 3.1788,              0.0019604,              0.0019604,              0.0019604
                     12,                 2.4547,                 2.6443,                 2.5452,                0.21113,                0.10773,                0.09246,                 0.0264,                 2.5163,                 3.1227,                 3.0814,               0.001956,               0.001956,               0.001956
                     13,                 2.3403,                 2.5045,                 2.4724,                0.21724,                0.12431,                0.07712,                0.02516,                 2.5313,                 3.5406,                 3.1235,              0.0019516,              0.0019516,              0.0019516
                     14,                 2.3275,                 2.4889,                 2.4512,                0.16717,                0.16575,                0.08117,                 0.0293,                 2.4511,                 3.4177,                 3.0801,              0.0019472,              0.0019472,              0.0019472
                     15,                 2.2942,                 2.3576,                 2.4131,                0.19171,                0.18785,                 0.1019,                0.02919,                 2.4697,                 3.1105,                 3.0722,              0.0019428,              0.0019428,              0.0019428
