                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1433,                 3.7115,                 4.0122,                0.00338,                0.81308,                 0.0125,                0.00362,                 2.7613,                 3.6342,                 3.7937,             0.00066082,             0.00066082,             0.00066082
                      2,                 2.8308,                  3.512,                 3.3576,                0.00249,                0.57477,                0.00841,                 0.0021,                 2.8505,                 4.2727,                 3.6098,              0.0013231,              0.0013231,              0.0013231
                      3,                 2.6315,                 3.4343,                 3.1418,                0.00709,                0.48598,                0.00954,                 0.0023,                 2.6999,                 4.1356,                 3.4156,               0.001981,               0.001981,               0.001981
                      4,                 2.5609,                 3.3094,                 3.0298,                0.04172,                0.21028,                0.02982,                0.00742,                 2.4423,                 4.3523,                 3.0525,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.4452,                 3.1843,                 2.9222,                0.05203,                0.35981,                0.05416,                0.01337,                 2.4004,                 3.5692,                 3.0208,              0.0019802,              0.0019802,              0.0019802
                      6,                  2.341,                 3.1119,                 2.8146,                0.03318,                0.50935,                0.03418,                0.00911,                 2.4891,                 3.5408,                 3.1808,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2786,                 3.0807,                 2.7674,                0.09521,                 0.3271,                0.07305,                0.02233,                 2.2479,                 3.1244,                 2.8965,               0.001967,               0.001967,               0.001967
                      8,                  2.226,                 2.9976,                   2.71,                0.06329,                0.42523,                0.09282,                0.02675,                 2.1891,                 3.3081,                 2.8561,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.1664,                 2.9128,                 2.6489,                0.13755,                0.33685,                0.09486,                0.02868,                  2.301,                 3.1014,                 2.8764,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.1593,                 2.8666,                 2.6101,                0.18885,                0.28037,                0.15362,                0.05255,                 2.1725,                 3.1414,                 2.7782,              0.0019472,              0.0019472,              0.0019472
                     11,                  2.118,                 2.8545,                 2.5953,                0.14268,                0.35514,                0.12594,                0.03807,                  2.171,                 3.2353,                 2.7998,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.1008,                 2.7814,                 2.5691,                0.23887,                 0.3271,                0.20111,                0.07105,                 2.1239,                 2.7722,                 2.7494,               0.001934,               0.001934,               0.001934
                     13,                 2.1043,                 2.7577,                 2.5642,                0.20561,                0.15888,                 0.1092,                0.03743,                 2.2221,                 3.0933,                 2.8399,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.0704,                 2.7006,                 2.5446,                0.20969,                0.35514,                0.18646,                0.06464,                 2.1431,                  2.918,                 2.8176,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.0488,                 2.6972,                 2.5371,                0.28756,                0.23364,                0.20149,                0.07218,                 2.0933,                  2.687,                 2.7452,              0.0019142,              0.0019142,              0.0019142
                     16,                  2.036,                 2.6523,                 2.5091,                0.28463,                 0.3972,                0.23036,                0.08105,                 2.0346,                 2.7028,                 2.6883,              0.0019076,              0.0019076,              0.0019076
                     17,                   2.02,                 2.6127,                 2.4996,                0.27873,                0.35981,                0.28152,                0.10299,                 2.0773,                  2.596,                 2.6738,               0.001901,               0.001901,               0.001901
                     18,                 2.0122,                 2.6159,                 2.5066,                0.29663,                0.33645,                 0.2512,                0.08494,                 2.1252,                 2.6685,                 2.7466,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.0114,                 2.6049,                 2.4813,                0.32398,                0.31776,                0.24535,                0.08585,                 2.1417,                 2.5179,                 2.7198,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.9952,                 2.5338,                 2.4426,                0.40407,                0.34579,                 0.2975,                0.10669,                 2.0505,                 2.5176,                 2.5734,              0.0018812,              0.0018812,              0.0018812
                     21,                  1.983,                 2.5379,                 2.4338,                0.33048,                0.42991,                0.28792,                0.10542,                   2.04,                 2.5189,                 2.6039,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.9629,                 2.4815,                 2.4108,                 0.3533,                 0.3957,                0.29422,                0.11042,                  2.064,                 2.4408,                 2.6562,               0.001868,               0.001868,               0.001868
                     23,                 1.9423,                 2.4635,                 2.4036,                0.33446,                0.41121,                 0.3356,                0.11687,                 2.0231,                 2.4807,                 2.5816,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.9417,                 2.4408,                 2.3999,                0.38487,                0.44393,                0.33326,                0.12313,                 2.0351,                 2.3076,                 2.6281,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.9349,                 2.4224,                 2.3868,                0.36634,                0.39713,                0.33845,                0.10788,                 2.0516,                 2.4077,                 2.5768,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.9131,                 2.3907,                 2.3853,                0.40894,                0.43458,                0.34152,                0.13302,                 1.9717,                 2.3856,                 2.5452,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.8963,                 2.3792,                 2.3592,                0.45214,                0.41121,                0.37168,                 0.1258,                 2.0081,                  2.375,                 2.6141,               0.001835,               0.001835,               0.001835
                     28,                  1.905,                 2.3362,                 2.3603,                0.41487,                0.41084,                0.33732,                0.12715,                  1.999,                 2.3405,                 2.5727,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.8952,                 2.3029,                   2.35,                0.40494,                0.41589,                0.32431,                0.11673,                 2.0014,                 2.3392,                 2.6022,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.8739,                 2.2999,                 2.3517,                0.46774,                0.43118,                0.39458,                0.14265,                 2.0291,                 2.2997,                 2.5898,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.8702,                 2.2703,                 2.3245,                0.45687,                0.39252,                0.33129,                 0.1206,                 2.0803,                 2.3498,                 2.6892,              0.0018086,              0.0018086,              0.0018086
                     32,                  1.883,                 2.2696,                 2.3355,                0.52594,                0.42991,                0.42602,                0.16129,                 1.9896,                 2.1854,                 2.6056,               0.001802,               0.001802,               0.001802
                     33,                 1.8501,                 2.2214,                 2.3228,                0.50533,                0.46262,                0.43081,                0.16256,                 1.9692,                 2.1644,                 2.5586,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.8346,                 2.2013,                 2.3107,                0.46769,                0.44393,                0.41684,                0.15934,                 2.0063,                  2.242,                 2.5441,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.8276,                 2.1744,                 2.2964,                0.50926,                0.37383,                0.39594,                0.15721,                 1.9734,                 2.2493,                 2.5921,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.8237,                 2.1957,                 2.3016,                0.53132,                0.51402,                0.45155,                0.16296,                 2.0444,                 2.1071,                 2.6122,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.8392,                 2.1482,                 2.2872,                 0.5142,                0.45327,                0.47704,                0.17896,                 1.9434,                 2.1508,                 2.4953,               0.001769,               0.001769,               0.001769
                     38,                 1.8199,                 2.1234,                 2.2817,                0.50322,                    0.5,                0.46044,                0.17579,                 2.0275,                 2.0776,                 2.5806,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.7955,                 2.1126,                 2.2565,                0.56108,                0.47664,                0.50095,                0.18902,                 2.0193,                 2.1464,                 2.5594,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.7928,                 2.0747,                 2.2604,                0.52074,                0.41635,                0.41546,                0.16825,                 2.0714,                 2.2066,                 2.6424,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.7863,                  2.068,                 2.2495,                0.59805,                0.47196,                0.49413,                0.20622,                 1.9433,                  2.045,                 2.4844,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.7617,                 2.1023,                 2.2355,                0.47535,                0.47196,                 0.4756,                0.17916,                 1.9834,                  2.168,                 2.5164,               0.001736,               0.001736,               0.001736
                     43,                 1.7575,                 2.0334,                 2.2105,                0.61037,                0.48315,                0.53135,                0.21775,                 1.9765,                 1.9852,                 2.4742,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.7572,                 2.0294,                 2.2179,                0.55225,                0.46684,                0.47453,                0.19408,                 2.0042,                 2.0936,                 2.5157,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.7494,                 1.9633,                 2.2007,                  0.612,                0.42013,                0.48042,                0.20058,                 2.0035,                 2.0609,                 2.5061,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.7249,                 1.9323,                 2.1867,                0.55374,                0.45327,                0.47876,                0.19961,                 1.9415,                 2.0511,                 2.4792,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.7186,                 1.9153,                 2.1784,                0.67427,                0.43529,                0.52268,                 0.2146,                 2.0041,                 1.9652,                 2.4905,               0.001703,               0.001703,               0.001703
                     48,                 1.7212,                 1.9156,                 2.1877,                0.65312,                0.53271,                 0.5749,                0.22713,                 1.9646,                 1.8938,                 2.4747,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.7201,                 1.8868,                 2.1792,                0.59208,                0.47479,                0.51574,                0.21033,                 2.0253,                 1.9596,                 2.5353,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.7027,                 1.8823,                 2.1597,                0.57748,                0.49065,                0.52739,                0.22142,                 1.9533,                 2.0196,                 2.4832,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.7058,                 1.8778,                 2.1726,                0.66549,                0.46729,                 0.5539,                0.22686,                 1.9262,                 1.9666,                 2.4493,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.6953,                 1.8821,                  2.152,                0.55483,                0.53738,                0.55904,                0.22929,                 2.0051,                 1.9409,                 2.5171,                0.00167,                0.00167,                0.00167
                     53,                  1.693,                 1.8569,                  2.146,                0.62351,                0.48131,                0.54129,                0.22739,                 1.9353,                 1.9366,                  2.461,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.6976,                 1.8155,                 2.1347,                 0.6894,                0.46675,                0.55787,                0.23086,                 1.9586,                 1.9173,                 2.4809,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.6906,                  1.815,                 2.1405,                0.68342,                0.48598,                0.57445,                0.24261,                 1.9283,                  1.838,                 2.4489,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.6546,                 1.7777,                 2.1036,                 0.6595,                0.49065,                0.59343,                0.24122,                 2.0673,                 1.9175,                 2.5379,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.6846,                 1.7941,                 2.1271,                0.74732,                0.46989,                0.58253,                0.25184,                  1.935,                 1.8763,                 2.4759,               0.001637,               0.001637,               0.001637
                     58,                 1.6573,                 1.7271,                 2.1029,                0.63574,                0.50467,                0.58386,                0.23712,                 1.9886,                 1.8986,                 2.4862,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.6524,                 1.7305,                 2.0982,                 0.6134,                0.56349,                0.61713,                0.23982,                 1.9949,                 1.8392,                 2.4753,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.6253,                 1.6983,                 2.0905,                0.76542,                0.46262,                0.57941,                0.23206,                 2.0224,                 1.8084,                 2.5406,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.6081,                 1.6703,                 2.0719,                0.58644,                0.51869,                0.56566,                0.24842,                 1.9929,                 1.8148,                 2.5153,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.6247,                 1.6731,                   2.08,                0.69238,                0.48382,                0.58765,                0.24597,                 2.0226,                 1.8085,                 2.5215,               0.001604,               0.001604,               0.001604
                     63,                 1.6034,                 1.6632,                 2.0549,                0.64419,                0.52336,                0.60757,                0.25106,                 2.0634,                 1.8359,                 2.5488,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.6072,                  1.635,                 2.0642,                0.65694,                0.57009,                0.61186,                0.24618,                 2.0937,                 1.8181,                 2.5583,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.5952,                 1.6256,                 2.0375,                0.61511,                0.60748,                0.60965,                 0.2499,                 2.0828,                 1.7505,                 2.5693,              0.0015842,              0.0015842,              0.0015842
                     66,                   1.58,                 1.6157,                 2.0244,                0.67235,                0.57944,                0.62703,                0.26667,                 2.0323,                 1.7263,                 2.5333,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.5714,                 1.5674,                 2.0338,                0.67047,                 0.5514,                0.60739,                0.26315,                 2.0493,                 1.7892,                 2.5558,               0.001571,               0.001571,               0.001571
                     68,                 1.5598,                 1.5703,                 2.0118,                0.74112,                0.53271,                0.60341,                0.24223,                  2.129,                  1.804,                 2.6267,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.5561,                 1.5474,                 2.0088,                0.77067,                0.50251,                0.63498,                0.25518,                 2.0629,                 1.7102,                 2.5399,              0.0015578,              0.0015578,              0.0015578
